latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
50.872,4.698,26.0,7200,Europe/Berlin,GMT+2

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),wind_speed_10m (km/h),wind_direction_10m (%)
2025-03-31T00:00,9.1,65,0.00,0,0,0,0,12.6,294
2025-03-31T01:00,8.3,69,0.00,0,0,0,0,13.7,305
2025-03-31T02:00,7.1,76,0.00,0,0,0,0,12.6,301
2025-03-31T03:00,7.5,82,0.00,23,23,0,0,10.1,331
2025-03-31T04:00,7.1,81,0.00,0,0,0,0,9.4,312
2025-03-31T05:00,5.9,92,0.00,7,7,0,0,9.0,300
2025-03-31T06:00,5.9,92,0.00,5,5,0,0,10.8,295
2025-03-31T07:00,5.7,93,0.00,98,98,0,0,11.2,310
2025-03-31T08:00,6.3,90,0.00,100,100,0,0,9.7,326
2025-03-31T09:00,7.1,84,0.00,97,97,0,0,10.1,345
2025-03-31T10:00,8.2,73,0.00,35,35,0,0,11.2,356
2025-03-31T11:00,9.6,66,0.00,6,6,0,0,9.7,354
2025-03-31T12:00,11.1,58,0.00,1,1,0,0,9.7,356
2025-03-31T13:00,12.6,52,0.00,3,3,0,0,9.0,358
2025-03-31T14:00,13.8,46,0.00,2,2,0,0,10.1,359
2025-03-31T15:00,14.8,39,0.00,0,0,0,0,11.2,6
2025-03-31T16:00,15.2,35,0.00,0,0,0,0,11.5,11
2025-03-31T17:00,15.6,35,0.00,0,0,0,0,11.5,11
2025-03-31T18:00,15.3,34,0.00,0,0,0,0,11.2,7
2025-03-31T19:00,14.8,35,0.00,0,0,0,0,11.2,13
2025-03-31T20:00,13.6,41,0.00,0,0,0,0,10.4,29
2025-03-31T21:00,12.0,45,0.00,0,0,0,0,10.8,35
2025-03-31T22:00,10.6,51,0.00,0,0,0,0,10.4,24
2025-03-31T23:00,9.6,55,0.00,0,0,0,0,11.5,27
2025-04-01T00:00,8.5,66,0.00,0,0,0,0,10.8,35
2025-04-01T01:00,7.7,72,0.00,0,0,0,0,10.1,45
2025-04-01T02:00,7.2,74,0.00,0,0,0,0,8.3,50
2025-04-01T03:00,6.6,76,0.00,0,0,0,0,7.6,54
2025-04-01T04:00,6.0,78,0.00,0,0,0,0,9.0,64
2025-04-01T05:00,5.4,80,0.00,0,0,0,0,8.6,68
2025-04-01T06:00,4.9,82,0.00,0,0,0,0,6.8,63
2025-04-01T07:00,4.4,84,0.00,0,0,0,0,7.6,60
2025-04-01T08:00,4.5,84,0.00,0,0,0,0,7.2,51
2025-04-01T09:00,5.7,79,0.00,0,0,0,0,7.9,54
2025-04-01T10:00,7.9,71,0.00,0,0,0,0,8.3,69
2025-04-01T11:00,10.7,60,0.00,0,0,0,0,11.2,60
2025-04-01T12:00,12.2,50,0.00,0,0,0,0,18.4,65
2025-04-01T13:00,13.2,45,0.00,0,0,0,0,19.8,61
2025-04-01T14:00,14.2,39,0.00,6,6,0,0,21.6,71
2025-04-01T15:00,14.8,38,0.00,0,0,0,0,17.6,78
2025-04-01T16:00,15.3,37,0.00,38,38,0,0,18.0,81
2025-04-01T17:00,15.3,37,0.00,42,42,0,0,18.7,86
2025-04-01T18:00,15.1,37,0.00,0,0,0,0,19.1,86
2025-04-01T19:00,14.5,39,0.00,0,0,0,0,19.8,92
2025-04-01T20:00,13.3,43,0.00,0,0,0,0,15.1,90
2025-04-01T21:00,11.9,47,0.00,0,0,0,0,10.4,76
2025-04-01T22:00,10.8,49,0.00,0,0,0,0,10.4,80
2025-04-01T23:00,9.9,51,0.00,0,0,0,0,10.8,65
2025-04-02T00:00,9.1,54,0.00,0,0,0,0,11.9,65
2025-04-02T01:00,8.5,59,0.00,0,0,0,0,14.4,69
2025-04-02T02:00,8.2,61,0.00,0,0,0,0,13.7,74
2025-04-02T03:00,8.0,63,0.00,0,0,0,0,14.8,76
2025-04-02T04:00,7.5,66,0.00,0,0,0,0,13.3,68
2025-04-02T05:00,6.8,70,0.00,0,0,0,0,14.0,62
2025-04-02T06:00,6.2,74,0.00,0,0,0,0,14.0,60
2025-04-02T07:00,5.9,77,0.00,0,0,0,0,14.0,57
2025-04-02T08:00,6.1,76,0.00,0,0,0,0,14.8,56
2025-04-02T09:00,7.5,70,0.00,0,0,0,0,16.2,61
2025-04-02T10:00,9.3,64,0.00,0,0,0,0,17.3,68
2025-04-02T11:00,11.0,59,0.00,0,0,0,0,18.7,69
2025-04-02T12:00,12.8,53,0.00,0,0,0,0,19.4,71
2025-04-02T13:00,14.5,48,0.00,0,0,0,0,20.9,74
2025-04-02T14:00,16.0,42,0.00,0,0,0,0,21.2,75
2025-04-02T15:00,17.3,38,0.00,0,0,0,0,22.3,86
2025-04-02T16:00,17.9,37,0.00,0,0,0,0,23.8,85
2025-04-02T17:00,18.1,38,0.00,4,4,0,0,24.5,88
2025-04-02T18:00,17.9,40,0.00,4,0,0,4,23.8,89
2025-04-02T19:00,17.3,43,0.00,45,0,0,45,22.3,92
2025-04-02T20:00,14.9,48,0.00,0,0,0,0,16.5,101
2025-04-02T21:00,13.8,52,0.00,0,0,0,0,14.8,96
2025-04-02T22:00,12.7,55,0.00,0,0,0,0,14.4,87
2025-04-02T23:00,11.8,58,0.00,0,0,0,0,14.6,80
2025-04-03T00:00,11.1,61,0.00,1,0,2,0,14.8,77
2025-04-03T01:00,10.4,63,0.00,3,0,5,0,15.1,78
2025-04-03T02:00,9.9,66,0.00,4,0,7,0,15.0,79
2025-04-03T03:00,9.1,70,0.00,3,0,5,0,14.3,80
2025-04-03T04:00,8.3,74,0.00,1,0,2,0,13.4,82
2025-04-03T05:00,7.8,77,0.00,0,0,0,0,12.6,85
2025-04-03T06:00,7.2,79,0.00,0,0,0,0,12.6,85
2025-04-03T07:00,6.8,81,0.00,0,0,0,0,13.0,87
2025-04-03T08:00,7.2,80,0.00,0,0,0,0,13.3,87
2025-04-03T09:00,8.7,75,0.00,0,0,0,0,13.0,88
2025-04-03T10:00,10.9,68,0.00,0,0,0,0,12.2,92
2025-04-03T11:00,13.1,61,0.00,0,0,0,0,11.9,95
2025-04-03T12:00,15.0,54,0.00,0,0,0,0,12.4,98
2025-04-03T13:00,16.9,47,0.00,0,0,0,0,13.6,101
2025-04-03T14:00,18.2,43,0.00,0,0,0,0,14.0,102
2025-04-03T15:00,18.9,42,0.00,0,0,0,0,14.0,102
2025-04-03T16:00,19.0,44,0.00,0,0,0,0,13.6,101
2025-04-03T17:00,18.8,46,0.00,0,0,0,0,13.1,98
2025-04-03T18:00,17.9,49,0.00,0,0,0,0,11.9,93
2025-04-03T19:00,16.5,53,0.00,0,0,0,0,10.4,88
2025-04-03T20:00,15.1,56,0.00,0,0,0,0,9.8,84
2025-04-03T21:00,14.1,58,0.00,0,0,0,0,9.7,88
2025-04-03T22:00,13.1,60,0.00,0,0,0,0,10.5,98
2025-04-03T23:00,11.9,63,0.00,0,0,0,0,10.7,104
2025-04-04T00:00,10.6,70,0.00,0,0,0,1,9.4,108
2025-04-04T01:00,9.1,78,0.00,0,0,0,2,7.4,113
2025-04-04T02:00,7.8,85,0.00,1,0,0,4,6.1,118
2025-04-04T03:00,6.9,88,0.00,2,0,0,8,5.8,120
2025-04-04T04:00,6.3,89,0.00,4,0,0,13,6.0,115
2025-04-04T05:00,5.8,90,0.00,5,0,0,15,5.8,112
2025-04-04T06:00,5.3,92,0.00,4,0,0,11,5.6,105
2025-04-04T07:00,4.9,93,0.00,2,0,0,5,5.4,98
2025-04-04T08:00,5.6,92,0.00,0,0,0,0,5.0,90
2025-04-04T09:00,7.8,87,0.00,0,0,0,0,4.3,85
2025-04-04T10:00,11.1,79,0.00,0,0,0,0,3.7,79
2025-04-04T11:00,13.9,70,0.00,0,0,0,0,3.9,68
2025-04-04T12:00,16.1,61,0.00,1,0,0,4,5.2,65
2025-04-04T13:00,18.0,51,0.00,2,0,0,9,7.2,63
2025-04-04T14:00,19.4,44,0.00,3,0,0,11,9.0,61
2025-04-04T15:00,20.0,41,0.00,1,0,0,5,10.6,55
2025-04-04T16:00,20.2,40,0.00,0,0,0,0,12.0,46
2025-04-04T17:00,19.9,42,0.00,0,0,0,0,12.8,40
2025-04-04T18:00,19.0,47,0.00,9,0,0,31,12.7,35
2025-04-04T19:00,17.5,54,0.00,22,0,0,74,12.2,28
2025-04-04T20:00,16.0,60,0.00,30,0,0,100,12.2,24
2025-04-04T21:00,14.6,65,0.00,28,0,2,91,13.0,24
2025-04-04T22:00,13.1,70,0.00,23,0,4,66,14.0,26
2025-04-04T23:00,11.6,73,0.00,20,0,7,51,14.7,28
2025-04-05T00:00,10.1,73,0.00,25,0,9,64,13.8,28
2025-04-05T01:00,8.6,70,0.00,33,0,11,89,12.4,30
2025-04-05T02:00,7.2,70,0.00,41,0,19,100,11.1,29
2025-04-05T03:00,5.8,74,0.00,49,0,42,84,10.6,28
2025-04-05T04:00,4.6,80,0.00,57,0,71,54,10.1,27
2025-04-05T05:00,3.8,84,0.00,60,0,84,33,10.1,27
2025-04-05T06:00,3.5,87,0.00,56,9,65,30,11.1,29
2025-04-05T07:00,3.6,88,0.00,47,20,30,35,12.4,30
2025-04-05T08:00,4.1,87,0.00,37,26,4,36,13.1,32
2025-04-05T09:00,4.8,83,0.00,25,20,0,28,13.0,34
2025-04-05T10:00,5.8,76,0.00,11,8,0,17,12.3,38
2025-04-05T11:00,7.1,70,0.00,2,0,0,8,12.0,41
